Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
&gt; 80%,80+,1,Power Supply,/product/BQW9TW/silverstone-power-supply-st70fes,Silverstone,,No,Silverstone Strider Essential 700W 80+ Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@46A, +5VSB@2.5A, -12V@0.3A",1,3,,ST70F-ES<br/>(or) SST-ST70F-ES,"[79.99, 81.21, 72.04, 79.99]",ATX12V / EPS12V,700 Watts,78.3075,silverstone-power-supply-st70fes,700.0,1.0,0.111867857143
,,1,Power Supply,/product/6MW9TW/enermax-power-supply-enp450ast,Enermax,,No,Enermax 450W ATX Power Supply,"+3.3V@22A, +5V@18A, +12V1@21A, +12V2@18A, -12V@0.3A, +5VSB@2.5A",1,1,,ENP450AST,"[38.99, 49.78, 45.99, 49.99]",ATX12V,450 Watts,46.1875,enermax-power-supply-enp450ast,450.0,,0.102638888889
&lt; 93%,80+ Gold,1,Power Supply,/product/QzV48d/thermaltake-power-supply-tpg1200m,Thermaltake,,No,Thermaltake Toughpower Grand 1200W 80+ Gold Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@40A, +12V2@85A, -12V@0.8A, +5VSB@6A",8,,,TPG-1200M,"[219.99, 223.98, 213.99]",ATX12V / EPS12V,1200 Watts,219.32,thermaltake-power-supply-tpg1200m,1200.0,4.0,0.182766666667
,,1,Power Supply,/product/MYGkcf/sunbeam-power-supply-psuhush580us,Sunbeam,,No,Sunbeam 580W ATX Power Supply,"+3.3V@30A, +5V@36A, +12V@25A, -12V@0.8A, +5VSB@2.0A",,,,PSU-HUSH580-US,[],ATX12V,580 Watts,0.0,sunbeam-power-supply-psuhush580us,580.0,,0.0
,,1,Power Supply,/product/kNbp99/topower-power-supply-top650pm,Topower,,No,Topower 650W ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@22A, +12V2@22A, -12V@0.5A, +5VSB@2.5A",1,1,,TOP-650PM,"[43.99, 54.09, 45.15]",ATX12V,650 Watts,47.7433333333,topower-power-supply-top650pm,650.0,,0.0734512820513
,80+ Gold,1,Power Supply,/product/Wv648d/thermaltake-power-supply-pstpd1500mpcgus1,Thermaltake,,Semi,Thermaltake Toughpower 1500W 80+ Gold Certified Semi-Modular ATX Power Supply,,10,,,PS-TPD-1500MPCGUS-1,"[298.99, 309.99, 317.04, 309.99]",ATX12V / EPS12V,1500 Watts,309.0025,thermaltake-power-supply-pstpd1500mpcgus1,1500.0,4.0,0.206001666667
&lt; 92%,80+ Gold,1,Power Supply,/product/rNtCmG/thermaltake-power-supply-tp750p,Thermaltake,,No,Thermaltake Tough Power 750W 80+ Gold Certified ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@60A, -12V@0.5A, +5VSB@3.5A",4,,,TP-750P,[],ATX12V / EPS12V,750 Watts,0.0,thermaltake-power-supply-tp750p,750.0,4.0,0.0
,80+ Bronze,1,Power Supply,/product/pnxfrH/fractal-design-power-supply-fdpsuin2b750w,Fractal Design,,No,Fractal Design Integra R2 750W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@30A, +12VCombined@672W, -12V@0.3A, +5VSB@3A",4,,,FD-PSU-IN2B-750W,[],ATX12V,750 Watts,0.0,fractal-design-power-supply-fdpsuin2b750w,750.0,2.0,0.0
,80+ Gold,1,Power Supply,/product/KdmxFT/be-quiet-power-supply-bn231,be quiet!,,No,be quiet! STRAIGHT POWER 10 500W 80+ Gold Certified ATX Power Supply,,2,,,BN231,[],ATX,500 Watts,0.0,be-quiet-power-supply-bn231,500.0,4.0,0.0
,80+ Gold,1,Power Supply,/product/FykwrH/be-quiet-power-supply-bn237,be quiet!,,Semi,be quiet! STRAIGHT POWER 10 CM 800W 80+ Gold Certified Semi-Modular ATX Power Supply,,4,,,BN237,[],ATX,800 Watts,0.0,be-quiet-power-supply-bn237,800.0,4.0,0.0
