Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
8MB,40GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/gNbp99/seagate-internal-hard-drive-st940818sm,Seagate,,,"Seagate EE25.2 Series 40GB 2.5"" 5400RPM Internal Hard Drive",ST940818SM,,,[],5400,,0.0,seagate-internal-hard-drive-st940818sm,40.0,5400.0,No,0.0,"2.5"""
8MB,640GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/gwR48d/hitachi-internal-hard-drive-0j22411,Hitachi,,,"Hitachi Product Series:5K100<br/>Product Line:Travelstar 640GB 2.5"" 5400RPM Internal Hard Drive",0J22411,,,[],5400,,0.0,hitachi-internal-hard-drive-0j22411,640.0,5400.0,No,0.0,"2.5"""
128MB,1TB,"3.5""",,,SATA 3 Gb/s,Storage,/product/4RtCmG/ocz-internal-hard-drive-oczssd21cls1t,OCZ,,MLC,"OCZ Colossus 1TB 3.5"" Solid State Drive",OCZSSD2-1CLS1T,,,[],,Indilinx Barefoot 1,0.0,ocz-internal-hard-drive-oczssd21cls1t,1000.0,0.0,Yes,0.0,"3.5"""
N/A,800GB,"2.5""",,,SAS 6 Gb/s,Storage,/product/nP2kcf/seagate-internal-hard-drive-st800fm0002,Seagate,,MLC,"Seagate Pulsar.2 800GB 2.5"" Solid State Drive",ST800FM0002,,,[],,N/A,0.0,seagate-internal-hard-drive-st800fm0002,800.0,0.0,Yes,0.0,"2.5"""
N/A,32GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/L87wrH/sandisk-internal-hard-drive-sdssdrc032g,Sandisk,,MLC,"Sandisk ReadyCache 32GB 2.5"" Solid State Drive",SDSSDRC-032G,,,[],,Varies,0.0,sandisk-internal-hard-drive-sdssdrc032g,32.0,0.0,Yes,0.0,"2.5"""
N/A,480GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/McJwrH/edge-tech-internal-hard-drive-edgsd230043pe,Edge Tech,,MLC (asynchronous),"Edge Tech Pro 480GB 2.5"" Solid State Drive",EDGSD-230043-PE,,,[],,Sandforce SF-2281,0.0,edge-tech-internal-hard-drive-edgsd230043pe,480.0,0.0,Yes,0.0,"2.5"""
128MB,3TB,"3.5""",15.88,,SATA 6 Gb/s,Storage,/product/cqTmP6/seagate-internal-hard-drive-st3000nm0053,Seagate,,,"Seagate Constellation<br/>Product Series:ES.3 3TB 3.5"" 7200RPM Internal Hard Drive",ST3000NM0053,,$0.063,[188.91],7200,,188.91,seagate-internal-hard-drive-st3000nm0053,3000.0,7200.0,No,0.063,"3.5"""
32MB,500GB,"3.5""",,,SATA 6 Gb/s,Storage,/product/9NK7YJ/seagate-internal-hard-drive-st3500320nsim,Seagate,,,"Seagate 500GB 3.5"" 7200RPM Internal Hard Drive",ST3500320NS-IM,,,[],7200,,0.0,seagate-internal-hard-drive-st3500320nsim,500.0,7200.0,No,0.0,"3.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/gp6BD3/kingston-internal-hard-drive-kws23404b,Kingston,,MLC (asynchronous),"Kingston SSDNow V+200 240GB 2.5"" Solid State Drive",KW-S2340-4B,,,[],,Sandforce SF-2281,0.0,kingston-internal-hard-drive-kws23404b,240.0,0.0,Yes,0.0,"2.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/q7V48d/kingston-internal-hard-drive-kws21404b,Kingston,,MLC (asynchronous),"Kingston SSDNow V+200 240GB 2.5"" Solid State Drive",KW-S2140-4B,,,[],,Sandforce SF-2281,0.0,kingston-internal-hard-drive-kws21404b,240.0,0.0,Yes,0.0,"2.5"""
